away_team,away_team_id,competition_id,date,home_team,home_team_id,match_id
"{0: 'Northampton Saints', 1: 'Benetton Treviso'}","{0: '25907', 1: '25927'}","{0: '267979', 1: '270557'}","{0: '20250124', 1: '20250124'}","{0: 'Harlequins', 1: 'Ospreys'}","{0: '25901', 1: '25968'}","{0: '599975', 1: '599270'}"
"{0: 'Leicester Tigers', 1: 'Saracens', 2: 'Bulls', 3: 'Edinburgh', 4: 'Stormers', 5: 'Sharks', 6: 'Munster', 7: 'Montpellier Herault', 8: 'Castres Olympique', 9: 'Stade Francais Paris', 10: 'Clermont Auvergne', 11: 'Bayonne', 12: 'Lyon'}","{0: '25903', 1: '25909', 2: '25953', 3: '25951', 4: '25962', 5: '25961', 6: '25925', 7: '25918', 8: '25916', 9: '25921', 10: '25917', 11: '25912', 12: '143736'}","{0: '267979', 1: '267979', 2: '270557', 3: '270557', 4: '270557', 5: '270557', 6: '270557', 7: '270559', 8: '270559', 9: '270559', 10: '270559', 11: '270559', 12: '270559'}","{0: '20250125', 1: '20250125', 2: '20250125', 3: '20250125', 4: '20250125', 5: '20250125', 6: '20250125', 7: '20250125', 8: '20250125', 9: '20250125', 10: '20250125', 11: '20250125', 12: '20250125'}","{0: 'Gloucester Rugby', 1: 'Exeter Chiefs', 2: 'Lions', 3: 'Scarlets', 4: 'Leinster', 5: 'Cardiff Blues', 6: 'Dragons', 7: 'Stade Toulousain', 8: 'Racing 92', 9: 'Vannes', 10: 'Pau', 11: 'Perpignan', 12: 'Bordeaux Begles'}","{0: '25900', 1: '116227', 2: '25958', 3: '25966', 4: '25924', 5: '25965', 6: '25967', 7: '25922', 8: '99855', 9: '289337', 10: '270567', 11: '25920', 12: '143737'}","{0: '599974', 1: '599973', 2: '599271', 3: '599272', 4: '599273', 5: '599274', 6: '599275', 7: '599708', 8: '599704', 9: '599706', 10: '599707', 11: '599710', 12: '599709'}"
"{0: 'Newcastle Falcons', 1: 'Bath Rugby', 2: 'Connacht', 3: 'Zebre', 4: 'La Rochelle'}","{0: '25906', 1: '25898', 2: '25923', 3: '167124', 4: '119318'}","{0: '267979', 1: '267979', 2: '270557', 3: '270557', 4: '270559'}","{0: '20250126', 1: '20250126', 2: '20250126', 3: '20250126', 4: '20250126'}","{0: 'Bristol Rugby', 1: 'Sale Sharks', 2: 'Glasgow Warriors', 3: 'Ulster', 4: 'Toulon'}","{0: '25899', 1: '25908', 2: '25952', 3: '25926', 4: '25986'}","{0: '599972', 1: '599976', 2: '599269', 3: '599276', 4: '599705'}"
{0: 'Wales'},{0: '4'},{0: '180659'},{0: '20250131'},{0: 'France'},{0: '9'},{0: '600250'}
"{0: 'Italy', 1: 'England', 2: 'Andorra'}","{0: '20', 1: '1', 2: '289430'}","{0: '180659', 1: '180659', 2: '289234'}","{0: '20250201', 1: '20250201', 2: '20250201'}","{0: 'Scotland', 1: 'Ireland', 2: 'Israel'}","{0: '2', 1: '3', 2: '289444'}","{0: '600251', 1: '600252', 2: '601213'}"
"{0: 'Wales', 1: 'France', 2: 'Bulls'}","{0: '4', 1: '9', 2: '25953'}","{0: '180659', 1: '180659', 2: '270557'}","{0: '20250208', 1: '20250208', 2: '20250208'}","{0: 'Italy', 1: 'England', 2: 'Stormers'}","{0: '20', 1: '1', 2: '25962'}","{0: '600253', 1: '600254', 2: '599201'}"
{0: 'Ireland'},{0: '3'},{0: '180659'},{0: '20250209'},{0: 'Scotland'},{0: '2'},{0: '600255'}
"{0: 'Zebre', 1: 'Leinster', 2: 'Hurricanes', 3: 'Highlanders', 4: 'Brumbies'}","{0: '167124', 1: '25924', 2: '25939', 3: '25938', 4: '25889'}","{0: '270557', 1: '270557', 2: '242041', 3: '242041', 4: '242041'}","{0: '20250214', 1: '20250214', 2: '20250214', 3: '20250214', 4: '20250214'}","{0: 'Edinburgh', 1: 'Ospreys', 2: 'Crusaders', 3: 'New South Wales Waratahs', 4: 'Fijian Drua'}","{0: '25951', 1: '25968', 2: '25936', 3: '227', 4: '289338'}","{0: '599277', 1: '599278', 2: '600348', 3: '600349', 4: '600350'}"
"{0: 'Stormers', 1: 'Sharks', 2: 'Ulster', 3: 'Scarlets', 4: 'Cardiff Blues', 5: 'Bordeaux Begles', 6: 'La Rochelle', 7: 'Vannes', 8: 'Pau', 9: 'Castres Olympique', 10: 'Toulon', 11: 'Chiefs', 12: 'Moana Pasifika', 13: 'Old Glory DC', 14: 'Anthem Rugby Carolina', 15: 'Chicago Hounds', 16: 'New England Free Jacks'}","{0: '25962', 1: '25961', 2: '25926', 3: '25966', 4: '25965', 5: '143737', 6: '119318', 7: '289337', 8: '270567', 9: '25916', 10: '25986', 11: '25934', 12: '289319', 13: '289311', 14: '289492', 15: '289351', 16: '289310'}","{0: '270557', 1: '270557', 2: '270557', 3: '270557', 4: '270557', 5: '270559', 6: '270559', 7: '270559', 8: '270559', 9: '270559', 10: '270559', 11: '242041', 12: '242041', 13: '289262', 14: '289262', 15: '289262', 16: '289262'}","{0: '20250215', 1: '20250215', 2: '20250215', 3: '20250215', 4: '20250215', 5: '20250215', 6: '20250215', 7: '20250215', 8: '20250215', 9: '20250215', 10: '20250215', 11: '20250215', 12: '20250215', 13: '20250215', 14: '20250215', 15: '20250215', 16: '20250215'}","{0: 'Lions', 1: 'Bulls', 2: 'Benetton Treviso', 3: 'Munster', 4: 'Connacht', 5: 'Bayonne', 6: 'Lyon', 7: 'Racing 92', 8: 'Stade Francais Paris', 9: 'Perpignan', 10: 'Montpellier Herault', 11: 'Blues', 12: 'Western Force', 13: 'Miami Sharks', 14: 'Nola Gold', 15: 'Houston SaberCats', 16: 'RFCLA'}","{0: '25958', 1: '25953', 2: '25927', 3: '25925', 4: '25923', 5: '25912', 6: '143736', 7: '99855', 8: '25921', 9: '25920', 10: '25918', 11: '25932', 12: '25893', 13: '289490', 14: '289270', 15: '289273', 16: '289312'}","{0: '599279', 1: '599280', 2: '599281', 3: '599282', 4: '599283', 5: '599712', 6: '599713', 7: '599715', 8: '599716', 9: '599717', 10: '599714', 11: '600351', 12: '600352', 13: '602108', 14: '602109', 15: '602110', 16: '602112'}"
"{0: 'Glasgow Warriors', 1: 'Stade Toulousain', 2: 'Seattle Seawolves'}","{0: '25952', 1: '25922', 2: '289272'}","{0: '270557', 1: '270559', 2: '289262'}","{0: '20250216', 1: '20250216', 2: '20250216'}","{0: 'Dragons', 1: 'Clermont Auvergne', 2: 'San Diego Legion'}","{0: '25967', 1: '25917', 2: '289277'}","{0: '599284', 1: '599711', 2: '602111'}"
