player_id,player_name
301389,Teddy Wilson
299085,Lawson Creighton
299082,Tom Lambert
299075,Tane Edmed
299074,Jack Grant
299057,Miles Amatosero
296968,Charlie Gamble
296967,Joey Walton
296571,Fergus Lee-Warner
294550,Mahe Vailanu
289471,Rob Leota
278715,Hugh Sinclair
231133,Taniela Tupou
228183,Matthew Philip
228175,Andrew Kellaway
184446,Lalakai Foketi
291587,Ryan Lonergan
225775,Jack Debreczeni
307714,Lington Ieli
307439,Lachlan Hooper
305436,Liam Bowron
304562,Lachlan Shaw
302898,David Feliuai
302861,Corey Toole
302860,Declan Meredith
299097,Rory Scott
299095,Luke Reimer
299092,Tom Hooper
299088,Hudson Creighton
299068,Rhys Van Nek
298479,Ben O'Donnell
297062,Tuaina Taii Tualima
296971,Lachlan Lonergan
296765,Ollie Sapsford
291925,Harrison Goddard
243821,Fe'ao Fotuaika
240825,Andy Muirhead
228193,Cameron Orr
163549,Cadeyrn Neville
301427,Josh Fusitu'a
300773,George Dyer
296888,AJ Lam
294911,Folau Fakatava
293940,Hoskins Sotutu
291431,Marika Koroibete
291238,Shannon Frizell
287537,Ngani Laumape
271165,Shaun Stevenson
271145,Kurt Eklund
239105,Pete Samu
229623,David Havili
82092,Owen Farrell
307420,Joseph-Aukuso Suaalii
302803,Max Jorgensen
301216,Tom Lynagh
299094,Billy Pollard
299076,Jeremy Williams
297145,Angus Bell
296973,Nick Frost
296963,Harry Potter
296573,Carlo Tizzano
295833,Fraser McReight
295400,Tom Wright
295396,Len Ikitau
295393,Harry Wilson
294320,Tate McDermott
238093,Jake Gordon
165153,Allan Alaalatoa
117323,James Slipper
15591,Kurtley Beale
320885,Jarrah McLeod
304751,Mesake Vocevoce
296698,Triston Reilly
294533,Richie Asiata
294322,Filipo Daugunu
184482,Mesake Doge
301197,Langi Gleeson
291552,Rob Valetini
239421,Dave Porecki
181854,Will Skelton
304985,Tobias Imbrosciano
305572,Federico Dominguez
305458,Tobias Rivas Orozco
305457,Facundo Rufino
305371,Home Team 20
305328,Home Team 23
305327,Home Team 22
305326,Home Team 21
305324,Home Team 19
305323,Home Team 18
305322,Home Team 17
305321,Home Team 16
304991,Simon Zappella
304990,Geronimo Tomasella
304988,Santos Panela
304986,Marcos Lafuente
304984,Martin Graciarena
304981,Pedro Del Piano
304980,Tomas Cotter
304978,Tomas Baca Castex
304977,Inaki Ustariz
304974,Martin Rinaldelli
304973,Matias Muniagurria
304972,Lucas Moresco
304969,Marcos Magaro
304966,Joaquin Guerra
304965,Santiago Escuti
304964,Tomas Distel
304962,Tomas Alonso Boto
304961,Matias Alonso Boto
304960,Alberto Adissi
305559,Santiago Pernas
305335,Away Team 22
97044,Santiago Gonzalez Iglesias
305421,Maximo Castillo
305379,Juan Cruz Alvarinas
305336,Away Team 23
305334,Away Team 21
305333,Away Team 20
305332,Away Team 19
305331,Away Team 18
305330,Away Team 17
305329,Away Team 16
304892,Luca Sabato
304891,Tomas Passerotti
304889,Alejo Chavez
304887,Ramon Fuentes
304886,Joaquin Luzzi
304882,Franco Battezzati
304881,Santiago Ambroa
304878,Bautista Vidal
304876,Nicolas Promanzio
304874,Ezequiel Oliva
304872,Manuel Mora
304871,Federico Lucca
304870,Maximo Lamelas
304867,Ignacio Cubilla
304866,Federico Canovas
304863,Tomas Bivort
304862,Tomas Baldo
304861,Juan Anderson
304859,Santiago Alduncin
291176,Franco Sabato
305273,Pedro de Aro
305272,Pedro Bisio
305573,Ezequiel Reyes
305525,Ramiro Rubio
305511,Felipe Nogues
305470,Jose Carro
305431,Ramiro Musio
305393,Bruno Montenegro
305313,Guido Vidalle
305312,Maximiliano Nicoli Fiscella
305275,Santiago Casals
305271,Octavio Capella
305268,Matias Malanos
305267,Matias Kremer
305265,Martin Del Pazo
305262,Lucas Malanos
305257,Jose Ignacio Ferrer
305256,Jose Caseres
305252,Federico Martin
305251,Federico Mayol
305250,Facundo Gerosa
305246,Agustin Fernandez
296555,Manuel Nogues
305305,Santiago Pavlovsky
305654,Ignacio Bottazzini
305571,Francisco Calandra
305558,Bernabe Lopez Fleming
305508,Ignacio Pietranera
305488,Jaime Gilligan
305428,Lucas Albanese
305407,Facundo Madero
305391,Ramon Martinez Tomietto
305390,Pedro Georgalos
305389,Juan Pedro Olcese
305383,Agustin Sascaro
305376,Tomas Meyrelles
305309,Nicanor Acosta
305308,Carlos Piran
305307,Santos Rubio
305304,Felipe Sascaro
305303,Alejo Daireaux
305300,Bautista Viero
305299,Benjamin Chiappe
305297,Marcos Piccinini
301620,Andrea Panzarini
292250,Tomas Borghi
305128,Tomas Bunge
305116,Francisco Lamensa
305676,Jaime McGrech
305515,Bautista Duranona
305137,Manuel Traverso
305136,Julian Quetglas Bojar
305131,Ramiro Costa
305127,Juan Pablo Barzi
305124,Mateo Freire
305121,Juan Monasterio
305119,Agustin Lamensa Sanudo
305115,Benjamin Handley
305113,Alfonso Latorre
304925,Pablo Gaston Vaca
304922,Francisco Jose Sluga
304920,Tomas Rosasco
304915,Simon Mimessi
304914,Maximo Mielgo
304910,Tomas Herrador
304908,Tomas Gallo
304907,Tomas Etcheverry
304906,Matias Espina
304903,Blas Armando Coria
304896,Tomas Alvarez Bayon
303628,Valentino Minoyetti
305191,Juan Akemeier
305491,Felipe Probaos
305425,Tobias Casaurang
305424,Tomas Phelan
305403,Franco Presta
305293,Jeronimo Solveyra
305292,Jeronimo Tumbarello
305291,Felipe Hileman
305200,Santiago David
305195,Luis Briatore
305194,Luca Canzani
305193,Leo Mazzini
305190,Juan Torres Obeid
305188,Juan Ignacio Nieto Sanchez
305187,Joaquin Saenz de Miera
305185,Joaquin Britto
305183,Hugo Garcia
305180,Facundo Scaiano
305179,Facundo Andreotti
305178,Eugenio Sartori
305176,Benjamin Rocca Rivarola
305174,Bautista Belleze
305173,Agustin Posleman
291684,Bruno Devoto
305319,Juan Lando
305514,Ignacio Saporiti
305459,Mateo Gasparotti
305318,Tomas Etchepare
305317,Ignacio Diaz
305316,Ignacio Marino
305315,Franco Vega
305170,Tobias Bernabe
305168,Theo Blaksley
305166,Ramon Duggan
305165,Pedro Arana
305158,Luciano Tecca
305157,Lisandro Garcia Dragui
305155,Juan Brescia
305154,Juan Aparicio
305150,Joaquin Mihura
305149,Joaquin de la Serna
305146,Francisco Lusarreta
305145,Francisco Gradin
305143,Augusto Vaccarino
305140,Justo Duranona
291685,Francisco Ferronato
181497,Santiago Garcia Botta
304946,Mateo Camerlinckx
305574,Marcelo Toledo
305420,Manuel Lozano Oneto
305375,Francisco Pisani
305290,Pedro Vega
305289,Lucas Gobet
304958,Rafael Santa Ana
304957,Felipe Rugolo
304953,Ramiro Moadeb
304952,Marcos Joseph
304949,Gonzalo Deluca
304947,Enrique Camerlinckx
304945,Justo Camerlinckx
304943,Alejo Barrera
304942,Mateo Trimarco
304941,Diego Aguero
304937,Valentin Sanguinetti
304936,Tomas Sanguinetti
304934,Beltran Landivar
304933,Juan Gobet
304931,Marcos Ferro
304930,Felipe Camerlinckx
304927,Tomas Barbaccia
15701,Santiago Fernandez
305655,Juan Pacheco
305575,Victor Franco
305513,Alfredo Mayol
305484,Nicolas Marzano
305372,Tomas Scallan
305014,Pedro Miranda
305013,Gaspar Jeckeln
305012,Federico Graglia
305011,Lucas Fernandez Miranda
305010,Bautista Farise
305005,Benjamin Silveyra
305002,Juan Ignacio Martinez Sosa
305001,Mariano Leiva
305000,Franco Diviesti
304999,Juan Ignacio Comolli
304998,Agustin Capurro
304995,Santino Amaya
304994,Nicolas Amaya
296558,Carlos Repetto
294361,Nicolas Leiva
291609,Joaquin Diaz Bonilla
12649,Juan Fernandez Miranda
305047,Segundo Fresco
305063,Valentino Quattrocchi
305486,Santiago Bonavento
305288,Alexis Uvieda
305282,Benjamin Marban
305067,Juan Vaca
305065,Eduardo Ruesta
305064,Wilmer Ramirez
305057,Isidro Lazzarini
305055,Luka Gullo
305054,Lautaro Grys Arana
305050,Felipe Crispo
305048,Felipe Campodonico
305044,Agustin Torello
305042,Agustin Fitzsimons Herrera
305039,Ramiro Bruni
305031,Franco Gnecco
305030,Santiago Gibert
305029,Alejo Garcia
305026,Nahuel Curti
305024,Santiago Canal
305023,Mateo Calistro
305022,Mateo Caffaro
305020,Facundo Alvarez Amado
305237,Gonzalo Guiterrez Taboada
305483,Carlos Mendez Beherty
305415,Justo Ortiz Basualdo
305392,Isidro Bosch
305245,Santiago Marolda
305243,Jeronimo Ulloa
305242,Benjamin Lanfranco
305241,Tomas Keena
305236,Lucas Marguery
305232,Silvestre Casa
305231,Rodrigo Pueyrredon
305230,Rodrigo Diaz de Vivar
305229,Pablo Cardinal
305228,Miguel Prince
305226,Mateo Montoya
305222,Manuel Lozano
305215,Felix Branca
305214,Faustino Santarelli
305209,Bautista Bosch
305207,Alejandro Urtubey
305203,Joaquin de la Vega
296552,Jeronimo Ureta
291687,Marcelo Brandi
305560,Marcos Elicagaray
305068,Marcos Moroni
305456,Hilario Casado
305414,Pedro Mesones
305294,Felipe Perdomo
305106,Valentin Mastroizzi
305105,Esteban Iribarne
305099,Bautista Casaurang
305094,Santiago Uriarte
305092,Segundo Pisani
305087,Santiago Landau
305085,Francisco Garoby
305083,Enrique Devoto
305081,Jeronimo Conte Grand
305078,Lucas Campion
305075,Tomas Anderlic
305074,Facundo Aguirre
305072,Francisco Sied
305071,Felipe de la Vega
305070,Benito Ortiz de Rozas
299565,Rafael Iriarte
298943,Estanislao Carullo
304864,Francisco Bottoni
228159,Santiago Montagner
305053,Segundo Galan
305032,Manuel Gnecco
305469,Bautista Lopez Manan
304948,Juan Corso
304944,Cruz Camerlinckx
305512,Ignacio Garcia Cuerva
301618,Nicolas D'Amorim
305198,Matias Dirube
305182,Felix Paolucci
305172,Salvador Ochoa
270443,Ignacio Larrague
305163,Mikael Quesada
305151,Jose Saporiti
305097,Nicolas Amadeo
305091,Emilio Perez Maraviglia
305090,Felipe Mendonca
304913,Luis Martinez
304905,Jordi Dieguez
305302,Franco Delger
305233,Teofilo Garay
305205,James Wright
305204,Francisco Ulloa
305524,Gonzalo Costaguta
305485,Felipe Rojo Bas
304970,Manuel Mauvecin
305453,Ignacio Sapino
305270,Nicolas Cripovich
305260,Juan Ignacio Degani
305774,Hayden Sargeant
305773,Henry Paterson
305772,Dietrich Roache
305771,Matt Gonzalez
305770,Nathan Lawson
302801,Ben Dowling
299419,James Turner
298497,Maurice Longbottom
296969,Mark Nawaqanitawase
291122,Henry Hutchison
291120,Nick Malouf
305778,Matteo Graziano
305777,Agustin Fraga
305776,Tomas Elizalde
305775,Tobias Wade
303284,Luciano Gonzalez
300382,Marcos Moneta
298945,Joaquin Pellandini
298940,Santiago Mare
295243,Matias Osadczuk
291178,Gaston Revol
185537,German Schultz
185019,Santiago Alvarez
305786,Nygel Amaitsa
305785,George Ooro Angeyo
305784,Kevin Wekesa
305783,Tony Omondi
305782,Patrick Odongo
305781,Lamec Ambetsa
305780,Chrisant Ojwang
305779,Herman Humwa
302723,Samuel Asati
302708,John Okoth Okeyo
302704,Vincent Onyala
302702,Brian Tanga
305793,Malacchi Esdale
305792,Naima Fuala'au
305791,Kevon Williams
305790,Marcus Tupuola
305789,Orrin Bizer
305788,Aaron Cummings
305787,Lucas Lacamp
291472,Matai Leuta
291175,Maka Unufe
291171,Madison Hughes
291170,Perry Baker
290689,Stephen Tomasin
305800,Waisea Nacuqu
305799,Terio Tamani
305798,Ponipate Loganimasi
305797,Jeremaia Matana
305796,Joseva Talacolo
305795,Iowane Teba
305794,Filipe Sauturaga
302933,Iosefo Masi
301324,Selestino Ravutaumada
291180,Jerry Tuwai
279769,Josaia Raisuqe
272051,Sevuloni Mocenacagi
305807,Selvyn Davids
305806,Shaun Williams
305805,Tiaan Pretorius
305804,Quewin Nortje
305803,Impi Visser
305802,Christie Grobbelaar
305801,Shilton van Wyk
299174,Zain Davids
297115,Tristan Leyds
289456,Ryan Oosthuizen
236531,Rosko Specman
179916,Siviwe Soyizwapi
299164,Isaac Kailea
298481,Zane Nonggorr
295397,Noah Lolesio
301522,Sacha Feinberg-Mngomezulu
298933,Kurt-Lee Arendse
297113,Ben-Jason Dixon
297081,Gerhard Steenekamp
296746,Elrigh Louw
294545,Marco van Staden
294538,Salmaan Moerat
294346,Grant Williams
265405,Ox Nche
242665,Cobus Reinach
220673,Malcolm Marx
186369,Kwagga Smith
186351,Vincent Koch
184921,Jesse Kriel
180244,Cheslin Kolbe
168335,Damian de Allende
165132,Handre Pollard
162961,Pieter-Steph du Toit
162040,Bongi Mbonambi
159922,Eben Etzebeth
159900,Willie le Roux
135146,Frans Malherbe
117451,Siya Kolisi
228027,Damian McKenzie
302027,Wallace Sititi
300774,Cortez Ratima
299051,Sam Darry
299026,Fletcher Newell
296806,Josh Lord
295036,Tupou Vaa'i
295013,Ethan de Groot
292697,Dalton Papali'i
292631,Will Jordan
291316,Ethan Blackadder
291273,Mark Tele'a
291268,Sevu Reece
291253,Jordie Barrett
291227,Asafo Aumua
269001,Rieko Ioane
265445,Tyrel Lomax
219159,Anton Lienert-Brown
179854,Ardie Savea
165084,Ofa Tu'ungafasi
142048,Codie Taylor
125468,TJ Perenara
120363,Beauden Barrett
303529,Efrain Elias
298948,Ignacio Ruiz
296965,Mateo Carreras
296743,Thomas Gallo
295820,Santiago Chocobares
290831,Marcos Kremer
265383,Juan Cruz Mallia
265379,Eduardo Bello
264777,Gonzalo Bertranou
228169,Lautaro Bazan Velez
185045,Tomas Lavanini
14800,Agustin Creevy
299012,Tamaiti Williams
