match_id,date,season,competition_id,competition,venue_id,venue,city_played,home_team,away_team,home_team_id,away_team_id,completed,is_tournament,played_on_grass,attendance,home_team_form,away_team_form
598626,20230114,2023,272073,European Rugby Challenge Cup,26071,Dexcom Stadium,Galway,Connacht,Brive,25923,25915,True,True,True,,LLWWL,LLWWL
598627,20230114,2023,272073,European Rugby Challenge Cup,103678,Stadio Sergio Lanfranchi,Parma,Zebre,Bristol Rugby,167124,25899,True,True,True,,LLLLW,LLWLL
598628,20230114,2023,272073,European Rugby Challenge Cup,16610,Stade Aime Giral,Perpignan,Perpignan,Glasgow Warriors,25920,25952,True,True,True,,LWLLT,LWLWW
597425,20230115,2023,271937,European Rugby Champions Cup,80052,Stade Pierre Fabre,Castres,Castres Olympique,Edinburgh,25916,25951,True,True,True,,WLLWL,WLWLW
597426,20230115,2023,271937,European Rugby Champions Cup,308456,Gtech Community Stadium,London,London Irish,Stormers,25904,25962,True,True,True,,WLWLW,WWLLL
597427,20230115,2023,271937,European Rugby Champions Cup,289546,Paris La Defense Arena,Nanterre,Racing 92,Harlequins,99855,25901,True,True,True,,LTLLW,WTLWL
598629,20230115,2023,272073,European Rugby Challenge Cup,16776,Cardiff Arms Park,Cardiff,Cardiff Blues,Newcastle Falcons,25965,25906,True,True,True,,TWWLW,LLLLL
598630,20230115,2023,272073,European Rugby Challenge Cup,16131,Kingsholm,Gloucester,Bath Rugby,Toulon,25898,25986,True,True,True,,WWLLW,WLWWW
597428,20230120,2023,271937,European Rugby Champions Cup,16220,Matmut Stadium de Gerland,Lyon,Lyon,Bulls,143736,25953,True,True,True,,WTTWW,LLLWW
597429,20230120,2023,271937,European Rugby Champions Cup,16133,Mattioli Woods Welford Road Stadium,Leicester,Leicester Tigers,Ospreys,25903,25968,True,True,True,,WTLWL,TWLWL
598631,20230120,2023,272073,European Rugby Challenge Cup,80047,Stade Mayol,Toulon,Toulon,Zebre,25986,167124,True,True,True,,WLWWW,LLLLW
598632,20230120,2023,272073,European Rugby Challenge Cup,167125,Scotstoun Stadium,Glasgow,Glasgow Warriors,Bath Rugby,25952,25898,True,True,True,,LWLWW,WWLLW
598633,20230120,2023,272073,European Rugby Challenge Cup,16142,Ashton Gate,Bristol,Bristol Rugby,Perpignan,25899,25920,True,True,True,,LLWLL,LWLLT
597430,20230121,2023,271937,European Rugby Champions Cup,26070,cinch Stadium at Franklin's Gardens,Northampton,Northampton Saints,La Rochelle,25907,119318,True,True,True,,WLWWL,WLWWW
597431,20230121,2023,271937,European Rugby Champions Cup,26067,Twickenham Stoop,London,Harlequins,Sharks,25901,25961,True,True,True,,WTLWL,LWLWW
597432,20230121,2023,271937,European Rugby Champions Cup,16681,Stade Chaban-Delmas,Bordeaux,Bordeaux Begles,Gloucester Rugby,143737,25900,True,True,True,,WWWWW,WLWLW
597433,20230121,2023,271937,European Rugby Champions Cup,16102,Aviva Stadium,Dublin,Leinster,Racing 92,25924,99855,True,True,True,,WWWWW,LTLLW
597434,20230121,2023,271937,European Rugby Champions Cup,289723,DHL Stadium,Cape Town,Stormers,Clermont Auvergne,25962,25917,True,True,True,,WWLLL,LLLWW
597435,20230121,2023,271937,European Rugby Champions Cup,118601,Sandy Park,Exeter,Exeter Chiefs,Castres Olympique,116227,25916,True,True,True,,LWLLL,WLLWL
597436,20230121,2023,271937,European Rugby Champions Cup,16157,Kingspan Stadium,Belfast,Ulster,Sale Sharks,25926,25908,True,True,True,,WLLLL,LWWWL
598634,20230121,2023,272073,European Rugby Challenge Cup,88018,Stade Jean Dauger,Bayonne,Bayonne,Scarlets,25912,25966,True,True,True,,LWWLW,WLWLL
598635,20230121,2023,272073,European Rugby Challenge Cup,16223,Stadio Comunale di Monigo,Treviso,Benetton Treviso,Stade Francais Paris,25927,25921,True,True,True,,WWWLL,LLWLL
598636,20230121,2023,272073,European Rugby Challenge Cup,80045,Stade Amedee-Domenech,Brive,Brive,Cardiff Blues,25915,25965,True,True,True,,LLWWL,TWWLW
598637,20230121,2023,272073,European Rugby Challenge Cup,26056,Kingston Park,Newcastle,Newcastle Falcons,Connacht,25906,25923,True,True,True,,LLLLL,LLWWL
597437,20230122,2023,271937,European Rugby Champions Cup,26065,GGL Stadium,Montpellier,Montpellier Herault,London Irish,25918,25904,True,True,True,,WWWWW,WLWLW
597438,20230122,2023,271937,European Rugby Champions Cup,16510,Stade Ernest-Wallon,Toulouse,Stade Toulousain,Munster,25922,25925,True,True,True,,LWTWW,LWLWW
597439,20230122,2023,271937,European Rugby Champions Cup,308496,Hive Stadium,Edinburgh,Edinburgh,Saracens,25951,25909,True,True,True,,WLWLW,WLWWW
598638,20230122,2023,272073,European Rugby Challenge Cup,308561,Centre for Sporting Excellence,,Dragons,Lions,25967,25958,True,True,True,,LLWLL,LWLLL
598639,20230122,2023,272073,European Rugby Challenge Cup,103678,Stadio Sergio Lanfranchi,Parma,Cheetahs,Pau,25955,270567,True,True,True,,LTLLL,LWLLW
595747,20230127,2023,267979,Premiership Rugby,166602,Salford City Stadium,Salford,Harlequins,Sale Sharks,25901,25908,True,True,True,,WTLWL,LWWWL
599476,20230127,2023,270557,United Rugby Championship,16157,Kingspan Stadium,Belfast,Ulster,Stormers,25926,25962,True,True,True,,WLLLL,WWLLL
599477,20230127,2023,270557,United Rugby Championship,26073,Parc y Scarlets,Llanelli,Scarlets,Bulls,25966,25953,True,True,True,,WLWLL,LLLWW
595748,20230128,2023,267979,Premiership Rugby,16133,Mattioli Woods Welford Road Stadium,Leicester,Leicester Tigers,Northampton Saints,25903,25907,True,True,True,,WTLWL,WLWWL
595745,20230128,2023,267979,Premiership Rugby,167186,StoneX Stadium,London,Bath Rugby,Saracens,25898,25909,True,True,True,,WWLLW,WLWWW
595746,20230128,2023,267979,Premiership Rugby,118601,Sandy Park,Exeter,Exeter Chiefs,Gloucester Rugby,116227,25900,True,True,True,,LWLLL,WLWLW
597664,20230128,2023,270559,Top 14,16220,Matmut Stadium de Gerland,Lyon,Lyon,Clermont Auvergne,143736,25917,True,True,True,,WTTWW,LLLWW
597662,20230128,2023,270559,Top 14,88018,Stade Jean Dauger,Bayonne,Bayonne,Brive,25912,25915,True,True,True,,LWWLW,LLWWL
597663,20230128,2023,270559,Top 14,80052,Stade Pierre Fabre,Castres,Castres Olympique,Bordeaux Begles,25916,143737,True,True,True,,WLLWL,WWWWW
